feeder_id,timestamp,hour_of_day,minute_of_day,day_of_week,is_weekend,slot_of_day,demand_kw,solar_kw,cloud_factor,temperature_c
F01,2026-09-14T23:00:00,23,1380,0,0,46,86.38,0.0,0.631,20.94
F01,2026-09-14T23:30:00,23,1410,0,0,47,78.23,0.0,0.642,19.87
F01,2026-09-15T00:00:00,0,0,1,0,0,77.2,0.0,0.609,20.5
F01,2026-09-15T00:30:00,0,30,1,0,1,80.78,0.0,0.56,17.61
F01,2026-09-15T01:00:00,1,60,1,0,2,78.74,0.0,0.611,18.78
F01,2026-09-15T01:30:00,1,90,1,0,3,86.67,0.0,0.882,20.13
F01,2026-09-15T02:00:00,2,120,1,0,4,86.79,0.0,0.959,21.95
F01,2026-09-15T02:30:00,2,150,1,0,5,86.02,0.0,0.9,22.89
F01,2026-09-15T03:00:00,3,180,1,0,6,79.38,0.0,0.192,22.44
F01,2026-09-15T03:30:00,3,210,1,0,7,77.8,0.0,0.713,23.33
F01,2026-09-15T04:00:00,4,240,1,0,8,88.54,0.0,0.754,22.56
F01,2026-09-15T04:30:00,4,270,1,0,9,85.76,0.0,0.801,23.67
F01,2026-09-15T05:00:00,5,300,1,0,10,87.74,0.0,0.55,26.19
F01,2026-09-15T05:30:00,5,330,1,0,11,83.53,0.0,0.86,28.84
F01,2026-09-15T06:00:00,6,360,1,0,12,84.01,0.0,0.924,28.09
F01,2026-09-15T06:30:00,6,390,1,0,13,106.01,15.26,0.779,28.86
F01,2026-09-15T07:00:00,7,420,1,0,14,108.69,34.24,0.882,30.53
F01,2026-09-15T07:30:00,7,450,1,0,15,124.78,10.77,0.188,32.04
F01,2026-09-15T08:00:00,8,480,1,0,16,134.0,21.87,0.292,33.86
F01,2026-09-15T08:30:00,8,510,1,0,17,120.08,70.39,0.771,34.5
F01,2026-09-15T09:00:00,9,540,1,0,18,110.87,75.8,0.715,34.25
F01,2026-09-15T09:30:00,9,570,1,0,19,102.66,67.8,0.57,35.68
F01,2026-09-15T10:00:00,10,600,1,0,20,81.9,119.89,0.923,34.28
F01,2026-09-15T10:30:00,10,630,1,0,21,75.31,52.84,0.381,35.2
F01,2026-09-15T11:00:00,11,660,1,0,22,77.56,120.46,0.831,37.45
F01,2026-09-15T11:30:00,11,690,1,0,23,86.29,117.31,0.789,37.43
F01,2026-09-15T12:00:00,12,720,1,0,24,77.96,108.95,0.726,37.4
F01,2026-09-15T12:30:00,12,750,1,0,25,73.5,113.23,0.761,36.89
F01,2026-09-15T13:00:00,13,780,1,0,26,78.21,95.59,0.66,35.7
F01,2026-09-15T13:30:00,13,810,1,0,27,81.16,95.28,0.688,35.26
F01,2026-09-15T14:00:00,14,840,1,0,28,75.62,97.2,0.748,33.8
F01,2026-09-15T14:30:00,14,870,1,0,29,66.54,84.13,0.707,32.83
F01,2026-09-15T15:00:00,15,900,1,0,30,80.63,101.65,0.958,34.59
F01,2026-09-15T15:30:00,15,930,1,0,31,94.33,75.03,0.822,33.66
F01,2026-09-15T16:00:00,16,960,1,0,32,94.26,64.32,0.858,31.22
F01,2026-09-15T16:30:00,16,990,1,0,33,94.11,42.41,0.739,30.38
F01,2026-09-15T17:00:00,17,1020,1,0,34,103.54,24.18,0.623,31.62
F01,2026-09-15T17:30:00,17,1050,1,0,35,121.23,17.85,0.912,28.94
F01,2026-09-15T18:00:00,18,1080,1,0,36,138.17,0.0,0.698,29.11
F01,2026-09-15T18:30:00,18,1110,1,0,37,148.02,0.0,0.405,27.47
F01,2026-09-15T19:00:00,19,1140,1,0,38,146.22,0.0,0.88,26.46
F01,2026-09-15T19:30:00,19,1170,1,0,39,141.66,0.0,0.749,24.75
F01,2026-09-15T20:00:00,20,1200,1,0,40,136.22,0.0,0.718,23.27
F01,2026-09-15T20:30:00,20,1230,1,0,41,128.52,0.0,0.371,23.05
F01,2026-09-15T21:00:00,21,1260,1,0,42,115.42,0.0,0.425,20.71
F01,2026-09-15T21:30:00,21,1290,1,0,43,106.77,0.0,0.828,21.94
F01,2026-09-15T22:00:00,22,1320,1,0,44,88.07,0.0,0.654,20.71
F01,2026-09-15T22:30:00,22,1350,1,0,45,76.57,0.0,0.828,19.33
F01,2026-09-15T23:00:00,23,1380,1,0,46,91.07,0.0,0.502,19.99
F01,2026-09-15T23:30:00,23,1410,1,0,47,74.13,0.0,0.716,20.3
F01,2026-09-16T00:00:00,0,0,2,0,0,87.74,0.0,0.902,20.59
F01,2026-09-16T00:30:00,0,30,2,0,1,85.18,0.0,0.852,21.17
F01,2026-09-16T01:00:00,1,60,2,0,2,75.26,0.0,0.808,19.98
F01,2026-09-16T01:30:00,1,90,2,0,3,76.97,0.0,0.84,21.49
F01,2026-09-16T02:00:00,2,120,2,0,4,83.9,0.0,0.657,21.8
F01,2026-09-16T02:30:00,2,150,2,0,5,77.68,0.0,0.861,22.81
F01,2026-09-16T03:00:00,3,180,2,0,6,78.92,0.0,0.755,22.87
F01,2026-09-16T03:30:00,3,210,2,0,7,74.51,0.0,0.818,25.08
F01,2026-09-16T04:00:00,4,240,2,0,8,80.31,0.0,0.491,25.37
F01,2026-09-16T04:30:00,4,270,2,0,9,87.09,0.0,0.898,25.92
F01,2026-09-16T05:00:00,5,300,2,0,10,80.45,0.0,0.792,25.02
F01,2026-09-16T05:30:00,5,330,2,0,11,81.14,0.0,0.575,26.94
F01,2026-09-16T06:00:00,6,360,2,0,12,75.67,0.0,0.743,27.74
F01,2026-09-16T06:30:00,6,390,2,0,13,99.61,14.03,0.717,29.55
F01,2026-09-16T07:00:00,7,420,2,0,14,108.6,19.15,0.493,29.58
F01,2026-09-16T07:30:00,7,450,2,0,15,130.91,37.37,0.651,28.96
F01,2026-09-16T08:00:00,8,480,2,0,16,129.38,37.55,0.501,33.38
F01,2026-09-16T08:30:00,8,510,2,0,17,122.98,78.27,0.857,31.9
F01,2026-09-16T09:00:00,9,540,2,0,18,107.51,58.15,0.548,34.45
F01,2026-09-16T09:30:00,9,570,2,0,19,93.04,50.25,0.422,33.72
F01,2026-09-16T10:00:00,10,600,2,0,20,91.91,92.61,0.713,33.28
F01,2026-09-16T10:30:00,10,630,2,0,21,77.65,59.74,0.431,36.34
F01,2026-09-16T11:00:00,11,660,2,0,22,83.57,86.29,0.596,35.83
F01,2026-09-16T11:30:00,11,690,2,0,23,85.71,102.7,0.691,35.2
F01,2026-09-16T12:00:00,12,720,2,0,24,83.39,126.98,0.847,35.61
F01,2026-09-16T12:30:00,12,750,2,0,25,77.08,138.81,0.933,36.08
F01,2026-09-16T13:00:00,13,780,2,0,26,83.4,123.22,0.85,35.32
F01,2026-09-16T13:30:00,13,810,2,0,27,84.05,103.57,0.747,36.22
F01,2026-09-16T14:00:00,14,840,2,0,28,89.72,102.1,0.786,35.28
F01,2026-09-16T14:30:00,14,870,2,0,29,81.85,95.02,0.798,35.19
F01,2026-09-16T15:00:00,15,900,2,0,30,79.07,91.97,0.867,33.36
F01,2026-09-16T15:30:00,15,930,2,0,31,88.82,79.87,0.875,34.65
F01,2026-09-16T16:00:00,16,960,2,0,32,79.99,60.11,0.801,32.52
F01,2026-09-16T16:30:00,16,990,2,0,33,99.42,35.34,0.616,30.09
F01,2026-09-16T17:00:00,17,1020,2,0,34,103.8,31.62,0.815,31.07
F01,2026-09-16T17:30:00,17,1050,2,0,35,120.4,14.47,0.739,28.77
F01,2026-09-16T18:00:00,18,1080,2,0,36,132.26,0.0,0.763,28.35
F01,2026-09-16T18:30:00,18,1110,2,0,37,136.53,0.0,0.443,26.78
F01,2026-09-16T19:00:00,19,1140,2,0,38,145.34,0.0,0.871,26.17
F01,2026-09-16T19:30:00,19,1170,2,0,39,142.41,0.0,0.705,25.26
F01,2026-09-16T20:00:00,20,1200,2,0,40,138.52,0.0,0.661,23.77
F01,2026-09-16T20:30:00,20,1230,2,0,41,117.62,0.0,0.83,22.21
F01,2026-09-16T21:00:00,21,1260,2,0,42,114.47,0.0,0.925,24.76
F01,2026-09-16T21:30:00,21,1290,2,0,43,100.05,0.0,0.617,20.65
F01,2026-09-16T22:00:00,22,1320,2,0,44,85.52,0.0,0.825,18.93
F01,2026-09-16T22:30:00,22,1350,2,0,45,75.57,0.0,0.944,20.42
F01,2026-09-16T23:00:00,23,1380,2,0,46,76.15,0.0,0.851,20.24
F01,2026-09-16T23:30:00,23,1410,2,0,47,82.57,0.0,0.495,20.84
F01,2026-09-17T00:00:00,0,0,3,0,0,78.98,0.0,0.753,17.88
F01,2026-09-17T00:30:00,0,30,3,0,1,81.72,0.0,0.445,19.53
F01,2026-09-17T01:00:00,1,60,3,0,2,81.71,0.0,0.367,19.56
F01,2026-09-17T01:30:00,1,90,3,0,3,78.41,0.0,0.695,20.09
F01,2026-09-17T02:00:00,2,120,3,0,4,81.76,0.0,0.941,20.9
F01,2026-09-17T02:30:00,2,150,3,0,5,90.0,0.0,0.844,22.04
F01,2026-09-17T03:00:00,3,180,3,0,6,75.68,0.0,0.559,21.29
F01,2026-09-17T03:30:00,3,210,3,0,7,79.04,0.0,0.935,24.17
F01,2026-09-17T04:00:00,4,240,3,0,8,78.29,0.0,0.662,21.72
F01,2026-09-17T04:30:00,4,270,3,0,9,90.98,0.0,0.776,22.63
F01,2026-09-17T05:00:00,5,300,3,0,10,82.07,0.0,0.826,25.43
F01,2026-09-17T05:30:00,5,330,3,0,11,84.82,0.0,0.513,27.84
F01,2026-09-17T06:00:00,6,360,3,0,12,81.73,0.0,0.875,27.02
F01,2026-09-17T06:30:00,6,390,3,0,13,99.68,16.08,0.821,28.87
F01,2026-09-17T07:00:00,7,420,3,0,14,108.55,24.17,0.622,30.65
F01,2026-09-17T07:30:00,7,450,3,0,15,127.3,50.35,0.877,31.31
F01,2026-09-17T08:00:00,8,480,3,0,16,122.24,67.14,0.895,30.86
F01,2026-09-17T08:30:00,8,510,3,0,17,126.05,75.62,0.828,32.72
F01,2026-09-17T09:00:00,9,540,3,0,18,112.07,95.81,0.903,35.6
F01,2026-09-17T09:30:00,9,570,3,0,19,95.33,53.56,0.45,36.2
F01,2026-09-17T10:00:00,10,600,3,0,20,81.77,118.19,0.91,35.39
F01,2026-09-17T10:30:00,10,630,3,0,21,79.72,114.68,0.828,36.13
F01,2026-09-17T11:00:00,11,660,3,0,22,82.05,104.27,0.72,35.29
F01,2026-09-17T11:30:00,11,690,3,0,23,81.9,122.88,0.826,35.73
F01,2026-09-17T12:00:00,12,720,3,0,24,76.26,112.08,0.747,35.51
F01,2026-09-17T12:30:00,12,750,3,0,25,74.93,106.82,0.718,36.42
F01,2026-09-17T13:00:00,13,780,3,0,26,77.58,82.97,0.573,35.68
F01,2026-09-17T13:30:00,13,810,3,0,27,81.44,124.91,0.901,34.49
F01,2026-09-17T14:00:00,14,840,3,0,28,85.56,111.75,0.86,36.13
F01,2026-09-17T14:30:00,14,870,3,0,29,84.52,54.87,0.461,34.2
F01,2026-09-17T15:00:00,15,900,3,0,30,80.74,76.33,0.72,32.18
F01,2026-09-17T15:30:00,15,930,3,0,31,86.67,64.84,0.71,33.45
F01,2026-09-17T16:00:00,16,960,3,0,32,91.74,57.2,0.763,32.69
F01,2026-09-17T16:30:00,16,990,3,0,33,90.7,40.27,0.702,30.13
F01,2026-09-17T17:00:00,17,1020,3,0,34,100.23,19.76,0.509,29.86
F01,2026-09-17T17:30:00,17,1050,3,0,35,127.92,16.33,0.834,29.29
F01,2026-09-17T18:00:00,18,1080,3,0,36,139.83,0.0,0.929,25.95
F01,2026-09-17T18:30:00,18,1110,3,0,37,141.12,0.0,0.772,29.2
F01,2026-09-17T19:00:00,19,1140,3,0,38,149.54,0.0,0.882,25.27
